iter	Passed	Remaining
400	19568	78030
401	19614	77969
402	19659	77906
403	19706	77850
404	19756	77804
405	19803	77750
406	19863	77746
407	19908	77683
408	19963	77659
409	20011	77607
410	20064	77572
411	20109	77507
412	20154	77445
413	20198	77379
414	20243	77316
415	20288	77250
416	20331	77181
417	20376	77117
418	20420	77053
419	20465	76989
420	20510	76926
421	20556	76866
422	20600	76799
423	20645	76739
424	20691	76680
425	20736	76616
426	20788	76582
427	20836	76530
428	20892	76509
429	20938	76450
430	20983	76385
431	21028	76324
432	21072	76259
433	21116	76196
434	21161	76133
435	21206	76072
436	21250	76006
437	21297	75950
438	21347	75905
439	21433	75990
440	21478	75929
441	21532	75901
442	21577	75837
443	21622	75777
444	21666	75711
445	21723	75690
446	21771	75640
447	21824	75605
448	21878	75575
449	21925	75519
450	21969	75455
451	22027	75439
452	22075	75387
453	22129	75357
454	22173	75293
455	22221	75239
456	22267	75181
457	22313	75124
458	22358	75063
459	22402	75000
460	22447	74940
461	22492	74876
462	22543	74837
463	22589	74778
464	22633	74714
465	22686	74681
466	22760	74713
467	22820	74704
468	22870	74656
469	22916	74599
470	22961	74540
471	23006	74477
472	23051	74418
473	23095	74352
474	23159	74354
475	23206	74299
476	23251	74240
477	23296	74178
478	23339	74112
479	23384	74052
480	23439	74023
481	23492	73985
482	23536	73922
483	23581	73861
484	23641	73849
485	23686	73788
486	23731	73727
487	23776	73669
488	23821	73607
489	23876	73577
490	23926	73533
491	23970	73472
492	24014	73408
493	24058	73345
494	24113	73313
495	24158	73254
496	24202	73192
497	24247	73132
498	24301	73099
499	24348	73045
500	24392	72983
501	24437	72922
502	24488	72881
503	24532	72819
504	24576	72755
505	24632	72730
506	24676	72668
507	24726	72622
508	24772	72564
509	24818	72507
510	24869	72468
511	24913	72405
512	24958	72346
513	25002	72284
514	25048	72228
515	25103	72195
516	25154	72156
517	25199	72096
518	25243	72034
519	25289	71976
520	25332	71914
521	25381	71866
522	25427	71808
523	25473	71753
524	25521	71703
525	25566	71644
526	25624	71621
527	25671	71569
528	25716	71510
529	25762	71453
530	25808	71398
531	25871	71389
532	25922	71348
533	25984	71335
534	26031	71283
535	26095	71275
536	26147	71236
537	26204	71209
538	26259	71177
539	26304	71118
540	26351	71066
541	26398	71011
542	26448	70966
543	26496	70915
544	26544	70866
545	26589	70809
546	26638	70760
547	26683	70701
548	26732	70653
549	26782	70608
550	26831	70561
551	26879	70509
552	26943	70501
553	26993	70454
554	27050	70429
555	27095	70371
556	27140	70311
557	27193	70273
558	27244	70232
559	27305	70215
560	27367	70198
561	27415	70148
562	27472	70121
563	27529	70092
564	27586	70064
565	27632	70009
566	27684	69968
567	27736	69927
568	27787	69884
569	27836	69836
570	27893	69806
571	27948	69774
572	28004	69742
573	28049	69684
574	28102	69644
575	28148	69589
576	28194	69534
577	28246	69491
578	28300	69456
579	28352	69413
580	28409	69386
581	28467	69359
582	28516	69311
583	28564	69259
584	28612	69207
585	28683	69211
586	28737	69174
587	28782	69117
588	28825	69054
589	28870	68996
590	28915	68937
591	28961	68880
592	29013	68839
593	29067	68803
594	29122	68769
595	29185	68753
596	29231	68695
597	29283	68654
598	29328	68596
599	29372	68536
600	29417	68477
601	29462	68420
602	29509	68366
603	29555	68311
604	29605	68262
605	29651	68208
606	29711	68184
607	29771	68160
608	29823	68118
609	29876	68078
610	29922	68024
611	29976	67986
612	30021	67928
613	30091	67927
614	30145	67888
615	30199	67850
616	30246	67797
617	30301	67762
618	30345	67701
619	30403	67671
620	30458	67636
621	30513	67600
622	30564	67556
623	30609	67497
624	30660	67453
625	30722	67433
626	30795	67435
627	30844	67386
628	30897	67345
629	30956	67317
630	31012	67284
631	31058	67228
632	31106	67176
633	31162	67142
634	31211	67092
635	31256	67033
636	31314	67004
637	31360	66949
638	31411	66903
639	31466	66865
640	31511	66807
641	31562	66763
642	31619	66729
643	31665	66674
644	31714	66624
645	31760	66568
646	31808	66516
647	31855	66464
648	31920	66447
649	31965	66389
650	32019	66349
651	32072	66309
652	32129	66275
653	32179	66229
654	32225	66172
655	32276	66127
656	32325	66078
657	32371	66021
658	32422	65977
659	32467	65918
660	32518	65874
661	32565	65819
662	32621	65784
663	32676	65746
664	32734	65715
665	32793	65684
666	32844	65639
667	32914	65631
668	32977	65610
669	33028	65563
670	33085	65529
671	33131	65474
672	33186	65436
673	33235	65386
674	33294	65355
675	33347	65314
676	33394	65260
677	33440	65204
678	33488	65151
679	33541	65109
680	33597	65073
681	33651	65032
682	33714	65009
683	33785	65001
684	33860	65001
685	33906	64946
686	33954	64893
687	34009	64855
688	34069	64825
689	34122	64783
690	34167	64726
691	34217	64676
692	34268	64630
693	34313	64573
694	34360	64517
695	34415	64480
696	34481	64461
697	34552	64450
698	34609	64417
699	34660	64368
700	34719	64337
701	34768	64286
702	34849	64296
703	34929	64302
704	34988	64268
705	35058	64257
706	35116	64222
707	35170	64181
708	35219	64130
709	35274	64089
710	35360	64106
711	35426	64085
712	35475	64035
713	35528	63991
714	35579	63943
715	35625	63886
716	35675	63837
717	35728	63794
718	35776	63741
719	35837	63711
720	35887	63660
721	35941	63618
722	35988	63563
723	36042	63521
724	36093	63474
725	36158	63451
726	36204	63395
727	36268	63370
728	36320	63323
729	36368	63271
730	36418	63221
731	36464	63164
732	36525	63135
733	36580	63094
734	36631	63045
735	36688	63007
736	36750	62979
737	36805	62939
738	36851	62881
739	36907	62842
