Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
0.44,0.5194454,0.44,36.03,0.44,0,
0.443,0.51,0.443,36.03,0.443,0,
0.447,0.51,0.447,36.02952,0.447,0,
0.45,0.5094371,0.45,36.02,0.45,0,
0.453,0.5,0.453,36.02,0.453,0,
0.457,0.5,0.457,36.02,0.457,0,
0.46,0.5,0.46,36.02,0.46,0,
0.463,0.4996108,0.463,36.02,0.463,0,
0.467,0.49,0.467,36.02,0.467,0,
0.47,0.49,0.47,36.01942,0.47,0,
0.473,0.49,0.473,36.01,0.473,0,
0.477,0.49,0.477,36.01,0.477,0,
0.48,0.49,0.48,36.01,0.48,0,
0.483,0.49,0.483,36.01,0.483,0,
0.487,0.49,0.487,36.00949,0.487,0,
0.49,0.49,0.49,36,0.49,0,
0.493,0.49,0.493,36,0.493,0,
0.497,0.49,0.497,36,0.497,0,
0.5,0.49,0.5,36,0.5,0,
0.503,0.49,0.503,36,0.503,0,
0.507,0.49,0.507,36,0.507,0,
0.51,0.49,0.51,35.99939,0.51,0,
0.513,0.49,0.513,35.99,0.513,0,
0.517,0.4905352,0.517,35.99,0.517,0,
0.52,0.5,0.52,35.99,0.52,0,
0.523,0.5,0.523,35.98956,0.523,0,
0.527,0.5,0.527,35.98,0.527,0,
0.53,0.5,0.53,35.98,0.53,0,
0.533,0.5,0.533,35.98,0.533,0,
0.537,0.5,0.537,35.98,0.537,0,
0.54,0.5006367,0.54,35.97936,0.54,0,
0.543,0.51,0.543,35.97,0.543,0,
0.547,0.51,0.547,35.97,0.547,0,
0.55,0.51,0.55,35.97,0.55,0,
0.553,0.5104651,0.553,35.97,0.553,0,
0.557,0.52,0.557,35.97,0.557,0,
0.56,0.52,0.56,35.97,0.56,0,
0.563,0.5204735,0.563,35.96953,0.563,0,
0.567,0.53,0.567,35.96,0.567,0,
0.57,0.53,0.57,35.96,0.57,0,
