Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
0.003,262.51,0.003,36.08,0.003,0,
0.007,262.51,0.007,36.08,0.007,0,
0.01,262.51,0.01,36.08,0.01,0,
0.013,262.51,0.013,36.08,0.013,0,
0.017,262.51,0.017,36.08,0.017,0,
0.02,262.51,0.02,36.08,0.02,0,
0.023,262.51,0.023,36.08,0.023,0,
0.027,262.51,0.027,36.08,0.027,0,
0.03,262.51,0.03,36.08,0.03,0,
0.033,262.51,0.033,36.08,0.033,0,
0.037,262.51,0.037,36.08,0.037,0,
0.04,262.51,0.04,36.08,0.04,0,
0.043,262.51,0.043,36.08,0.043,0,
0.047,262.51,0.047,36.08,0.047,0,
0.05,262.51,0.05,36.08,0.05,0,
0.053,262.52,0.053,36.08,0.053,0,
0.057,262.52,0.057,36.08,0.057,0,
0.06,262.52,0.06,36.08,0.06,0,
0.063,262.52,0.063,36.08,0.063,0,
0.067,262.52,0.067,36.08,0.067,0,
0.07,262.52,0.07,36.08,0.07,0,
0.073,262.52,0.073,36.08,0.073,0,
0.077,262.53,0.077,36.08,0.077,0,
0.08,262.5302,0.08,36.08,0.08,0,
0.083,262.54,0.083,36.08,0.083,0,
0.087,262.54,0.087,36.08,0.087,0,
0.09,262.5403,0.09,36.08,0.09,0,
0.093,262.55,0.093,36.08,0.093,0,
0.097,262.55,0.097,36.08,0.097,0,
0.1,262.5502,0.1,36.08,0.1,0,
0.103,262.5601,0.103,36.08,0.103,0,
0.107,262.57,0.107,36.08,0.107,0,
0.11,262.57,0.11,36.08,0.11,0,
0.113,262.5701,0.113,36.08,0.113,0,
0.117,262.5802,0.117,36.08,0.117,0,
0.12,262.59,0.12,36.08,0.12,0,
0.123,262.59,0.123,36.08,0.123,0,
0.127,262.5904,0.127,36.08,0.127,0,
0.13,262.6103,0.13,36.08,0.13,0,
0.133,262.62,0.133,36.08,0.133,0,
0.137,262.62,0.137,36.08,0.137,0,
0.14,262.6203,0.14,36.08,0.14,0,
0.143,262.63,0.143,36.08,0.143,0,
0.147,262.63,0.147,36.08,0.147,0,
0.15,262.6303,0.15,36.08,0.15,0,
0.153,262.6402,0.153,36.08,0.153,0,
0.157,262.66,0.157,36.08,0.157,0,
0.16,262.66,0.16,36.08,0.16,0,
0.163,262.6602,0.163,36.08,0.163,0,
0.167,262.6804,0.167,36.08,0.167,0,
0.17,262.7,0.17,36.08,0.17,0,
0.173,262.7,0.173,36.08,0.173,0,
0.177,262.7002,0.177,36.08,0.177,0,
0.18,262.7103,0.18,36.08,0.18,0,
0.183,262.72,0.183,36.08,0.183,0,
0.187,262.72,0.187,36.08,0.187,0,
0.19,262.7206,0.19,36.08,0.19,0,
0.193,262.7401,0.193,36.08,0.193,0,
0.197,262.75,0.197,36.08,0.197,0,
0.2,262.75,0.2,36.08,0.2,0,
0.203,262.7502,0.203,36.08,0.203,0,
0.207,262.7704,0.207,36.08,0.207,0,
0.21,262.79,0.21,36.08,0.21,0,
0.213,262.79,0.213,36.08,0.213,0,
0.217,262.7905,0.217,36.08,0.217,0,
0.22,262.8103,0.22,36.08,0.22,0,
0.223,262.82,0.223,36.08,0.223,0,
0.227,262.8203,0.227,36.08,0.227,0,
0.23,262.831,0.23,36.08,0.23,0,
0.233,262.86,0.233,36.08,0.233,0,
0.237,262.86,0.237,36.08,0.237,0,
0.24,262.8603,0.24,36.08,0.24,0,
0.243,262.8703,0.243,36.08,0.243,0,
0.247,262.8903,0.247,36.08,0.247,0,
0.25,262.9,0.25,36.08,0.25,0,
0.253,262.9,0.253,36.08,0.253,0,
0.257,262.9005,0.257,36.08,0.257,0,
0.26,262.92,0.26,36.08,0.26,0,
0.263,262.92,0.263,36.08,0.263,0,
0.267,262.9205,0.267,36.08,0.267,0,
0.27,262.9404,0.27,36.08,0.27,0,
0.273,262.95,0.273,36.08,0.273,0,
0.277,262.95,0.277,36.08,0.277,0,
0.28,262.9504,0.28,36.08,0.28,0,
0.283,262.9604,0.283,36.08,0.283,0,
0.287,262.98,0.287,36.08,0.287,0,
0.29,262.98,0.29,36.08,0.29,0,
0.293,262.9804,0.293,36.08,0.293,0,
0.297,263.0003,0.297,36.08,0.297,0,
0.3,263.01,0.3,36.08,0.3,0,
0.303,263.01,0.303,36.08,0.303,0,
0.307,263.0103,0.307,36.08,0.307,0,
0.31,263.0204,0.31,36.08,0.31,0,
0.313,263.03,0.313,36.08,0.313,0,
0.317,263.0303,0.317,36.08,0.317,0,
0.32,263.0404,0.32,36.08,0.32,0,
0.323,263.0502,0.323,36.08,0.323,0,
0.327,263.06,0.327,36.08,0.327,0,
0.33,263.06,0.33,36.08,0.33,0,
0.333,263.0602,0.333,36.08,0.333,0,
0.337,263.07,0.337,36.08,0.337,0,
0.34,263.07,0.34,36.08,0.34,0,
0.343,263.0702,0.343,36.08,0.343,0,
0.347,263.0803,0.347,36.08,0.347,0,
0.35,263.09,0.35,36.08,0.35,0,
0.353,263.09,0.353,36.08,0.353,0,
0.357,263.09,0.357,36.08,0.357,0,
0.36,263.09,0.36,36.08,0.36,0,
0.363,263.09,0.363,36.08,0.363,0,
0.367,263.09,0.367,36.08,0.367,0,
0.37,263.09,0.37,36.08,0.37,0,
0.373,263.0902,0.373,36.08,0.373,0,
0.377,263.1,0.377,36.08,0.377,0,
0.38,263.1,0.38,36.08,0.38,0,
0.383,263.1003,0.383,36.08,0.383,0,
0.387,263.11,0.387,36.08,0.387,0,
0.39,263.11,0.39,36.08,0.39,0,
0.393,263.11,0.393,36.08,0.393,0,
0.397,263.11,0.397,36.08,0.397,0,
0.4,263.11,0.4,36.08,0.4,0,
0.403,263.11,0.403,36.08,0.403,0,
0.407,263.11,0.407,36.08,0.407,0,
0.41,263.1104,0.41,36.08,0.41,0,
0.413,263.12,0.413,36.08,0.413,0,
0.417,263.12,0.417,36.08,0.417,0,
0.42,263.12,0.42,36.08,0.42,0,
0.423,263.12,0.423,36.08,0.423,0,
0.427,263.12,0.427,36.08,0.427,0,
0.43,263.12,0.43,36.08,0.43,0,
0.433,263.12,0.433,36.08,0.433,0,
0.437,263.1204,0.437,36.08,0.437,0,
0.44,263.13,0.44,36.08,0.44,0,
0.443,263.13,0.443,36.08,0.443,0,
0.447,263.1296,0.447,36.08,0.447,0,
0.45,263.12,0.45,36.08,0.45,0,
0.453,263.12,0.453,36.08,0.453,0,
0.457,263.12,0.457,36.08,0.457,0,
0.46,263.12,0.46,36.08,0.46,0,
0.463,263.1203,0.463,36.08,0.463,0,
0.467,263.13,0.467,36.08,0.467,0,
0.47,263.13,0.47,36.08,0.47,0,
0.473,263.13,0.473,36.08,0.473,0,
0.477,263.1296,0.477,36.08,0.477,0,
0.48,263.12,0.48,36.08,0.48,0,
0.483,263.12,0.483,36.08,0.483,0,
0.487,263.1204,0.487,36.08,0.487,0,
