Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
0.493,136.2192,0.493,0,0.493,0,
0.497,136.2,0.497,0,0.497,0,
0.5,136.2,0.5,0,0.5,0,
0.503,136.1983,0.503,0,0.503,0,
0.507,136.159,0.507,0,0.507,0,
0.51,136.14,0.51,0,0.51,0,
0.513,136.1396,0.513,0,0.513,0,
0.517,136.1274,0.517,0,0.517,0,
0.52,136.0794,0.52,0,0.52,0,
0.523,136.07,0.523,0,0.523,0,
0.527,136.0689,0.527,0,0.527,0,
0.53,136.0488,0.53,0,0.53,0,
0.533,136.0291,0.533,0,0.533,0,
0.537,136.01,0.537,0,0.537,0,
0.54,136.0094,0.54,0,0.54,0,
0.543,135.9982,0.543,0,0.543,0,
0.547,135.96,0.547,0,0.547,0,
0.55,135.96,0.55,0,0.55,0,
0.553,135.9582,0.553,0,0.553,0,
0.557,135.9172,0.557,0,0.557,0,
0.56,135.87,0.56,0,0.56,0,
0.563,135.87,0.563,0,0.563,0,
0.567,135.8677,0.567,0,0.567,0,
0.57,135.8274,0.57,0,0.57,0,
0.573,135.79,0.573,0,0.573,0,
0.577,135.79,0.577,0,0.577,0,
0.58,135.7867,0.58,0,0.58,0,
0.583,135.7386,0.583,0,0.583,0,
0.587,135.71,0.587,0,0.587,0,
0.59,135.71,0.59,0,0.59,0,
0.593,135.7076,0.593,0,0.593,0,
0.597,135.6582,0.597,0,0.597,0,
0.6,135.63,0.6,0,0.6,0,
0.603,135.6295,0.603,0,0.603,0,
0.607,135.6176,0.607,0,0.607,0,
0.61,135.5786,0.61,0,0.61,0,
0.613,135.56,0.613,0,0.613,0,
0.617,135.5582,0.617,0,0.617,0,
0.62,135.5265,0.62,0,0.62,0,
0.623,135.4795,0.623,0,0.623,0,
0.627,135.47,0.627,0,0.627,0,
0.63,135.4686,0.63,0,0.63,0,
0.633,135.4469,0.633,0,0.633,0,
0.637,135.39,0.637,0,0.637,0,
0.64,135.39,0.64,0,0.64,0,
0.643,135.3879,0.643,0,0.643,0,
0.647,135.3481,0.647,0,0.647,0,
0.65,135.32,0.65,0,0.65,0,
0.653,135.32,0.653,0,0.653,0,
0.657,135.3174,0.657,0,0.657,0,
0.66,135.2771,0.66,0,0.66,0,
0.663,135.24,0.663,0,0.663,0,
0.667,135.24,0.667,0,0.667,0,
0.67,135.2371,0.67,0,0.67,0,
0.673,135.1989,0.673,0,0.673,0,
0.677,135.18,0.677,0,0.677,0,
0.68,135.18,0.68,0,0.68,0,
0.683,135.1777,0.683,0,0.683,0,
0.687,135.1387,0.687,0,0.687,0,
0.69,135.12,0.69,0,0.69,0,
0.693,135.1194,0.693,0,0.693,0,
0.697,135.1073,0.697,0,0.697,0,
0.7,135.0685,0.7,0,0.7,0,
0.703,135.05,0.703,0,0.703,0,
0.707,135.0493,0.707,0,0.707,0,
0.71,135.0377,0.71,0,0.71,0,
0.713,135.01,0.713,0,0.713,0,
0.717,135.01,0.717,0,0.717,0,
0.72,135.0084,0.72,0,0.72,0,
0.723,134.9882,0.723,0,0.723,0,
0.727,134.96,0.727,0,0.727,0,
0.73,134.96,0.73,0,0.73,0,
0.733,134.9588,0.733,0,0.733,0,
0.737,134.9379,0.737,0,0.737,0,
0.74,134.91,0.74,0,0.74,0,
0.744,134.91,0.744,0,0.744,0,
0.747,134.9078,0.747,0,0.747,0,
0.75,134.8784,0.75,0,0.75,0,
0.754,134.86,0.754,0,0.754,0,
0.757,134.86,0.757,0,0.757,0,
0.76,134.8576,0.76,0,0.76,0,
0.764,134.8294,0.764,0,0.764,0,
0.767,134.82,0.767,0,0.767,0,
0.77,134.82,0.77,0,0.77,0,
0.774,134.8194,0.774,0,0.774,0,
0.777,134.81,0.777,0,0.777,0,
0.78,134.81,0.78,0,0.78,0,
0.784,134.8093,0.784,0,0.784,0,
0.787,134.7985,0.787,0,0.787,0,
0.79,134.78,0.79,0,0.79,0,
0.794,134.78,0.794,0,0.794,0,
0.797,134.7792,0.797,0,0.797,0,
0.8,134.7692,0.8,0,0.8,0,
0.804,134.76,0.804,0,0.804,0,
0.807,134.76,0.807,0,0.807,0,
0.81,134.7591,0.81,0,0.81,0,
0.814,134.7493,0.814,0,0.814,0,
0.817,134.74,0.817,0,0.817,0,
0.82,134.74,0.82,0,0.82,0,
0.824,134.7393,0.824,0,0.824,0,
0.827,134.7292,0.827,0,0.827,0,
0.83,134.72,0.83,0,0.83,0,
0.834,134.72,0.834,0,0.834,0,
0.837,134.72,0.837,0,0.837,0,
0.84,134.7191,0.84,0,0.84,0,
0.844,134.71,0.844,0,0.844,0,
0.847,134.71,0.847,0,0.847,0,
0.85,134.7091,0.85,0,0.85,0,
0.854,134.6993,0.854,0,0.854,0,
0.857,134.69,0.857,0,0.857,0,
0.86,134.69,0.86,0,0.86,0,
0.864,134.6893,0.864,0,0.864,0,
0.867,134.68,0.867,0,0.867,0,
0.87,134.68,0.87,0,0.87,0,
0.874,134.68,0.874,0,0.874,0,
0.877,134.68,0.877,0,0.877,0,
0.88,134.68,0.88,0,0.88,0,
0.884,134.68,0.884,0,0.884,0,
0.887,134.68,0.887,0,0.887,0,
0.89,134.6791,0.89,0,0.89,0,
0.894,134.67,0.894,0,0.894,0,
0.897,134.67,0.897,0,0.897,0,
0.9,134.67,0.9,0,0.9,0,
0.904,134.6693,0.904,0,0.904,0,
0.907,134.66,0.907,0,0.907,0,
0.91,134.66,0.91,0,0.91,0,
0.914,134.66,0.914,0,0.914,0,
0.917,134.66,0.917,0,0.917,0,
0.92,134.66,0.92,0,0.92,0,
0.924,134.66,0.924,0,0.924,0,
0.927,134.6591,0.927,0,0.927,0,
0.93,134.649,0.93,0,0.93,0,
0.934,134.64,0.934,0,0.934,0,
0.937,134.64,0.937,0,0.937,0,
0.94,134.6409,0.94,0,0.94,0,
0.944,134.6492,0.944,0,0.944,0,
0.947,134.64,0.947,0,0.947,0,
0.95,134.64,0.95,0,0.95,0,
0.954,134.64,0.954,0,0.954,0,
0.957,134.64,0.957,0,0.957,0,
0.96,134.64,0.96,0,0.96,0,
0.964,134.64,0.964,0,0.964,0,
0.967,134.64,0.967,0,0.967,0,
0.97,134.64,0.97,0,0.97,0,
0.974,134.64,0.974,0,0.974,0,
0.977,134.6391,0.977,0,0.977,0,
0.98,134.629,0.98,0,0.98,0,
0.984,134.62,0.984,0,0.984,0,
0.987,134.62,0.987,0,0.987,0,
0.99,134.618,0.99,0,0.99,0,
0.994,134.6,0.994,0,0.994,0,
0.997,134.6,0.997,0,0.997,0,
1,134.6,1,0,1,0,
1.004,134.5992,1.004,0,1.004,0,
1.007,134.59,1.007,0,1.007,0,
1.01,134.59,1.01,0,1.01,0,
1.014,134.59,1.014,0,1.014,0,
1.017,134.59,1.017,0,1.017,0,
1.02,134.59,1.02,0,1.02,0,
1.024,134.59,1.024,0,1.024,0,
1.027,134.59,1.027,0,1.027,0,
1.03,134.59,1.03,0,1.03,0,
1.034,134.59,1.034,0,1.034,0,
1.037,134.59,1.037,0,1.037,0,
1.04,134.59,1.04,0,1.04,0,
1.044,134.59,1.044,0,1.044,0,
1.047,134.59,1.047,0,1.047,0,
1.05,134.59,1.05,0,1.05,0,
1.054,134.5891,1.054,0,1.054,0,
1.057,134.581,1.057,0,1.057,0,
1.06,134.59,1.06,0,1.06,0,
1.064,134.59,1.064,0,1.064,0,
1.067,134.59,1.067,0,1.067,0,
1.07,134.5889,1.07,0,1.07,0,
1.074,134.58,1.074,0,1.074,0,
1.077,134.58,1.077,0,1.077,0,
1.08,134.58,1.08,0,1.08,0,
1.084,134.58,1.084,0,1.084,0,
1.087,134.58,1.087,0,1.087,0,
1.09,134.58,1.09,0,1.09,0,
1.094,134.5791,1.094,0,1.094,0,
1.097,134.569,1.097,0,1.097,0,
1.1,134.56,1.1,0,1.1,0,
1.104,134.56,1.104,0,1.104,0,
1.107,134.558,1.107,0,1.107,0,
1.11,134.54,1.11,0,1.11,0,
1.114,134.54,1.114,0,1.114,0,
1.117,134.539,1.117,0,1.117,0,
1.12,134.5311,1.12,0,1.12,0,
1.124,134.5391,1.124,0,1.124,0,
1.127,134.53,1.127,0,1.127,0,
1.13,134.5289,1.13,0,1.13,0,
1.134,134.5191,1.134,0,1.134,0,
1.137,134.51,1.137,0,1.137,0,
1.14,134.51,1.14,0,1.14,0,
1.144,134.509,1.144,0,1.144,0,
1.147,134.4989,1.147,0,1.147,0,
1.15,134.49,1.15,0,1.15,0,
1.154,134.49,1.154,0,1.154,0,
1.157,134.4889,1.157,0,1.157,0,
1.16,134.4777,1.16,0,1.16,0,
1.164,134.46,1.164,0,1.164,0,
1.167,134.46,1.167,0,1.167,0,
1.17,134.4589,1.17,0,1.17,0,
1.174,134.449,1.174,0,1.174,0,
1.177,134.44,1.177,0,1.177,0,
1.18,134.44,1.18,0,1.18,0,
1.184,134.439,1.184,0,1.184,0,
1.187,134.4289,1.187,0,1.187,0,
1.19,134.42,1.19,0,1.19,0,
1.194,134.42,1.194,0,1.194,0,
1.197,134.4178,1.197,0,1.197,0,
1.2,134.3988,1.2,0,1.2,0,
1.204,134.39,1.204,0,1.204,0,
1.207,134.3889,1.207,0,1.207,0,
1.21,134.3788,1.21,0,1.21,0,
1.214,134.369,1.214,0,1.214,0,
1.217,134.36,1.217,0,1.217,0,
1.22,134.3588,1.22,0,1.22,0,
1.224,134.348,1.224,0,1.224,0,
1.227,134.33,1.227,0,1.227,0,
1.23,134.33,1.23,0,1.23,0,
1.234,134.329,1.234,0,1.234,0,
1.237,134.3177,1.237,0,1.237,0,
1.24,134.3,1.24,0,1.24,0,
1.244,134.3,1.244,0,1.244,0,
1.247,134.2989,1.247,0,1.247,0,
1.25,134.2876,1.25,0,1.25,0,
1.254,134.27,1.254,0,1.254,0,
1.257,134.27,1.257,0,1.257,0,
1.26,134.2676,1.26,0,1.26,0,
1.264,134.2479,1.264,0,1.264,0,
1.267,134.23,1.267,0,1.267,0,
1.27,134.23,1.27,0,1.27,0,
1.274,134.2279,1.274,0,1.274,0,
1.277,134.2088,1.277,0,1.277,0,
1.28,134.2,1.28,0,1.28,0,
1.284,134.2,1.284,0,1.284,0,
1.287,134.1988,1.287,0,1.287,0,
1.29,134.1888,1.29,0,1.29,0,
1.294,134.18,1.294,0,1.294,0,
1.297,134.1788,1.297,0,1.297,0,
1.3,134.1687,1.3,0,1.3,0,
1.304,134.16,1.304,0,1.304,0,
1.307,134.16,1.307,0,1.307,0,
1.31,134.1588,1.31,0,1.31,0,
1.314,134.1489,1.314,0,1.314,0,
1.317,134.14,1.317,0,1.317,0,
1.32,134.14,1.32,0,1.32,0,
1.324,134.14,1.324,0,1.324,0,
1.327,134.1388,1.327,0,1.327,0,
1.33,134.13,1.33,0,1.33,0,
1.334,134.13,1.334,0,1.334,0,
1.337,134.1288,1.337,0,1.337,0,
1.34,134.12,1.34,0,1.34,0,
1.344,134.12,1.344,0,1.344,0,
1.347,134.12,1.347,0,1.347,0,
1.35,134.1187,1.35,0,1.35,0,
1.354,134.11,1.354,0,1.354,0,
1.357,134.11,1.357,0,1.357,0,
1.36,134.11,1.36,0,1.36,0,
1.364,134.11,1.364,0,1.364,0,
1.367,134.11,1.367,0,1.367,0,
1.37,134.11,1.37,0,1.37,0,
1.374,134.11,1.374,0,1.374,0,
1.377,134.11,1.377,0,1.377,0,
1.38,134.11,1.38,0,1.38,0,
1.384,134.11,1.384,0,1.384,0,
1.387,134.1087,1.387,0,1.387,0,
1.39,134.1,1.39,0,1.39,0,
1.394,134.1,1.394,0,1.394,0,
1.397,134.1,1.397,0,1.397,0,
1.4,134.1,1.4,0,1.4,0,
1.404,134.1012,1.404,0,1.404,0,
1.407,134.11,1.407,0,1.407,0,
1.41,134.11,1.41,0,1.41,0,
1.414,134.1112,1.414,0,1.414,0,
1.417,134.1213,1.417,0,1.417,0,
1.42,134.13,1.42,0,1.42,0,
1.424,134.13,1.424,0,1.424,0,
1.427,134.13,1.427,0,1.427,0,
1.43,134.1313,1.43,0,1.43,0,
1.434,134.14,1.434,0,1.434,0,
1.437,134.14,1.437,0,1.437,0,
1.44,134.1414,1.44,0,1.44,0,
1.444,134.15,1.444,0,1.444,0,
1.447,134.15,1.447,0,1.447,0,
1.45,134.15,1.45,0,1.45,0,
1.454,134.1488,1.454,0,1.454,0,
1.457,134.1413,1.457,0,1.457,0,
