date,open,high,low,close,volume,money
2005-06-24,169.45,171.62,168.36,171.35,193677.0,32967766.0
2005-06-27,174.08,177.07,173.26,174.89,413661.0,72527186.0
2005-06-28,174.35,174.35,169.45,170.26,264262.0,45167274.0
2005-06-29,171.08,172.17,169.45,169.45,116303.0,19801236.0
2005-06-30,169.17,169.45,161.27,161.55,407664.0,66944070.0
2005-07-01,161.27,162.09,156.37,157.73,279474.0,44347470.0
2005-07-04,156.64,159.37,154.73,159.09,204416.0,31891346.0
2005-07-05,158.0,159.37,155.55,156.91,101126.0,15924866.0
2005-07-06,156.64,158.55,153.1,154.46,154572.0,24070201.0
2005-07-07,153.1,156.1,153.1,154.19,99725.0,15400993.0
2005-07-08,154.19,154.19,148.47,148.74,248387.0,37220064.0
2005-07-11,149.83,154.46,148.47,149.56,162122.0,24514712.0
2005-07-12,149.56,160.18,147.65,158.28,296975.0,46324747.0
2005-07-13,157.73,158.28,155.55,156.1,154457.0,24175368.0
2005-07-14,156.1,158.55,155.55,156.91,125001.0,19648386.0
2005-07-15,156.37,158.0,152.56,154.19,116923.0,18141572.0
2005-07-18,154.19,155.28,150.38,153.92,162859.0,24948194.0
2005-07-19,153.92,158.0,151.19,155.82,188863.0,29200091.0
2005-07-20,156.1,158.55,154.19,157.73,204513.0,32182962.0
2005-07-21,158.0,158.0,155.28,157.46,95770.0,14990914.0
2005-07-22,158.28,164.81,158.28,162.09,463041.0,75059452.0
2005-07-25,161.82,164.0,159.64,161.82,201128.0,32591555.0
2005-07-26,161.55,166.18,161.0,163.72,315781.0,51893036.0
2005-07-27,164.0,165.63,161.55,165.36,267513.0,43727084.0
2005-07-28,165.36,167.54,163.45,164.0,349536.0,57827642.0
2005-07-29,163.45,164.27,160.46,161.55,221982.0,35946544.0
2005-08-01,161.27,163.18,158.55,161.55,195738.0,31453232.0
2005-08-02,161.82,164.27,159.91,164.0,230097.0,37227921.0
2005-08-03,164.54,172.71,163.72,166.18,570558.0,96121490.0
2005-08-04,165.9,167.54,164.0,164.54,251305.0,41579880.0
2005-08-05,164.54,170.26,164.54,169.45,547658.0,92365302.0
2005-08-08,170.26,171.9,168.08,169.99,356267.0,60519928.0
2005-08-09,170.26,171.08,167.54,170.81,310408.0,52556261.0
2005-08-10,171.08,173.53,169.17,171.62,423948.0,72491366.0
2005-08-11,171.62,176.8,170.81,176.26,827106.0,144217047.0
2005-08-12,176.26,176.53,168.9,168.9,618805.0,106591929.0
2005-08-15,168.9,172.44,168.08,171.62,358570.0,60947049.0
2005-08-16,171.62,172.44,166.72,167.54,407066.0,68620082.0
2005-08-17,167.54,168.9,162.91,168.63,383669.0,63761681.0
2005-08-18,168.63,171.35,163.45,164.0,494198.0,82577591.0
2005-08-19,164.0,167.27,160.73,162.63,287049.0,46883461.0
2005-08-22,163.18,165.63,162.09,164.54,171015.0,28052128.0
2005-08-23,164.54,164.81,159.91,163.18,242740.0,39431027.0
2005-08-24,162.63,165.63,162.63,164.27,182277.0,29951553.0
2005-08-25,164.54,165.36,161.82,163.72,158501.0,25921650.0
2005-08-26,163.45,168.9,162.91,167.54,364044.0,60867164.0
2005-08-29,168.36,169.99,164.81,165.63,282044.0,47182213.0
2005-08-30,167.54,169.45,165.63,166.99,324516.0,54477347.0
2005-08-31,166.99,169.99,165.09,169.72,370429.0,62215125.0
2005-09-01,169.99,172.71,168.36,171.35,561117.0,95897501.0
2005-09-02,172.44,175.44,169.99,170.53,487231.0,83999295.0
2005-09-05,170.81,172.17,168.9,171.9,286250.0,48765982.0
2005-09-06,172.44,172.71,166.99,167.54,332133.0,56411996.0
2005-09-07,167.27,169.72,165.9,169.17,309224.0,51833633.0
2005-09-08,169.17,174.62,168.36,172.17,660583.0,113567540.0
2005-09-09,171.9,174.89,169.72,170.26,363836.0,62725717.0
2005-09-12,170.53,171.35,168.36,169.99,181975.0,30873740.0
2005-09-13,169.99,172.71,168.36,172.44,301462.0,51399302.0
2005-09-14,172.17,174.35,171.62,173.8,493443.0,85405431.0
2005-09-15,173.8,174.08,170.53,171.08,303685.0,52137575.0
2005-09-16,171.35,173.53,170.53,171.62,267293.0,45986923.0
2005-09-19,171.62,172.17,169.45,171.08,255171.0,43485943.0
2005-09-20,170.81,170.81,166.99,167.27,387854.0,65257978.0
2005-09-21,167.27,168.36,164.0,164.27,306893.0,50898029.0
2005-09-22,164.0,164.54,158.82,160.73,344659.0,55674714.0
2005-09-23,160.73,162.09,158.82,159.37,172935.0,27713331.0
2005-09-26,159.37,162.09,158.28,161.82,150507.0,24081487.0
2005-09-27,163.18,163.18,156.64,156.91,184690.0,29231815.0
2005-10-21,171.08,172.71,164.54,172.71,649963.0,111927934.0
2005-10-24,178.98,179.25,169.72,170.26,1390021.0,241903586.0
2005-10-25,169.45,171.62,163.72,165.63,640823.0,106832137.0
2005-10-26,166.18,167.54,159.37,161.27,494581.0,80724260.0
2005-10-27,161.27,162.36,157.46,158.82,367579.0,58863839.0
2005-10-28,158.55,159.91,150.1,152.01,374877.0,58016412.0
2005-10-31,152.01,157.46,152.01,155.55,333861.0,51856154.0
2005-11-01,155.01,156.37,152.56,155.28,164163.0,25340329.0
2005-11-02,155.01,157.73,154.19,156.91,162936.0,25518060.0
2005-11-03,157.19,157.46,152.83,154.46,157300.0,24301799.0
2005-11-04,153.92,155.55,152.56,155.28,114794.0,17654136.0
2005-11-07,155.82,156.1,153.37,155.82,114655.0,17758073.0
2005-11-08,155.82,157.46,153.92,156.91,120377.0,18778329.0
2005-11-09,156.91,157.46,154.19,155.55,98431.0,15312464.0
2005-11-10,155.28,155.28,150.65,151.19,160384.0,24437883.0
2005-11-11,151.19,152.56,150.1,150.92,96317.0,14597961.0
2005-11-14,150.92,154.19,150.92,152.56,61621.0,9389450.0
2005-11-15,152.83,154.46,152.01,152.83,102293.0,15686218.0
2005-11-16,152.28,154.19,151.74,154.19,86425.0,13207854.0
2005-11-17,154.73,155.28,153.37,154.73,124055.0,19175942.0
2005-11-18,155.28,158.28,153.64,157.46,277506.0,43453648.0
2005-11-21,157.46,157.46,155.55,156.37,126501.0,19781882.0
2005-11-22,156.1,156.1,152.56,152.56,109750.0,16881701.0
2005-11-23,152.01,154.46,151.47,154.19,85179.0,13092401.0
2005-11-24,154.73,156.91,152.56,155.28,128865.0,20055166.0
2005-11-25,155.55,160.73,154.46,160.18,505148.0,80344038.0
2005-11-28,160.18,160.18,157.19,157.73,170929.0,27068346.0
2005-11-29,156.64,159.64,156.64,157.46,116209.0,18330401.0
2005-11-30,156.91,159.37,156.37,159.09,133932.0,21214085.0
2005-12-01,159.09,159.37,157.19,158.0,96886.0,15323981.0
2005-12-02,157.73,159.37,156.91,158.82,158716.0,25178664.0
2005-12-05,158.0,158.0,152.83,153.1,163869.0,25507541.0
2005-12-06,152.56,159.37,152.56,156.91,182828.0,28708748.0
2005-12-07,156.91,158.82,156.1,158.28,149997.0,23680627.0
2005-12-08,158.0,160.18,157.46,158.28,128567.0,20417876.0
2005-12-09,158.28,161.27,157.19,160.18,274314.0,43866337.0
2005-12-12,160.73,162.91,159.37,160.73,236443.0,38175548.0
2005-12-13,160.18,160.73,158.82,160.73,135047.0,21586533.0
2005-12-14,160.73,167.81,159.91,165.36,531543.0,87156673.0
2005-12-15,165.63,166.45,163.18,163.45,479858.0,78839111.0
2005-12-16,163.45,164.27,162.36,163.72,208895.0,34144708.0
2005-12-19,163.72,164.27,162.09,163.18,150528.0,24564084.0
2005-12-20,163.18,166.99,162.91,165.9,344380.0,56894510.0
2005-12-21,165.9,169.17,164.81,165.09,412242.0,68925355.0
2005-12-22,164.81,165.9,163.72,165.09,178070.0,29346607.0
2005-12-23,165.09,167.81,165.09,166.99,268301.0,44653239.0
2005-12-26,168.36,170.81,167.27,169.72,582659.0,98606082.0
2005-12-27,169.72,169.72,167.81,168.9,205321.0,34568292.0
2005-12-28,168.9,168.9,166.99,168.08,178795.0,29975438.0
2005-12-29,168.08,170.53,167.27,169.45,292188.0,49418040.0
2005-12-30,169.72,169.99,166.99,167.27,206994.0,34766193.0
2006-01-04,166.99,172.44,166.72,171.08,566958.0,96989007.0
2006-01-05,171.62,172.99,169.99,172.17,564774.0,96812528.0
2006-01-06,174.35,177.07,172.99,174.62,876088.0,153652213.0
2006-01-09,174.35,175.44,172.71,174.08,404600.0,70422238.0
2006-01-10,172.99,173.26,167.54,171.08,786533.0,133992626.0
2006-01-11,171.08,172.99,168.9,169.72,357877.0,60874419.0
2006-01-12,169.17,171.08,168.63,171.08,246697.0,41928720.0
2006-01-13,170.26,172.99,168.36,169.17,293542.0,49797333.0
2006-01-16,168.36,168.36,165.63,165.9,358653.0,59761385.0
2006-01-17,165.9,168.36,164.81,167.27,200237.0,33457474.0
2006-01-18,167.27,170.53,166.45,169.72,246370.0,41664882.0
2006-01-19,169.72,171.62,168.36,171.08,292163.0,49647188.0
2006-01-20,172.17,172.44,168.36,169.72,228658.0,38794295.0
2006-01-23,169.72,170.26,167.27,168.36,259795.0,43698189.0
2006-01-24,167.81,170.81,167.27,170.53,307391.0,51929167.0
2006-01-25,170.26,173.26,169.72,172.99,424339.0,72851116.0
2006-02-06,172.99,176.26,172.17,174.35,392891.0,68383372.0
2006-02-07,174.35,174.35,168.9,171.62,443965.0,76012322.0
2006-02-08,170.81,171.9,168.36,171.62,280952.0,47678718.0
2006-02-09,171.08,171.35,168.36,168.63,267161.0,45127694.0
2006-02-10,168.9,169.99,167.54,169.17,218372.0,36875399.0
2006-02-13,169.17,170.53,167.81,169.17,199636.0,33694048.0
2006-02-14,168.63,171.35,167.81,169.72,198871.0,33789402.0
2006-02-15,170.81,175.44,170.81,172.17,557552.0,96683808.0
2006-02-16,171.62,171.62,168.08,168.08,346159.0,58602034.0
2006-02-17,168.08,171.08,166.99,169.99,315940.0,53456823.0
2006-02-20,169.99,173.8,168.36,171.35,409810.0,70511244.0
2006-02-21,171.35,186.34,170.53,184.97,1647295.0,296836103.0
2006-02-22,184.43,186.61,181.43,184.97,1344152.0,248056240.0
2006-02-23,185.25,192.33,184.7,190.97,1706411.0,323757106.0
2006-02-24,190.97,191.78,187.97,191.51,974526.0,185345905.0
2006-02-27,192.06,193.42,185.25,185.79,838204.0,157473746.0
2006-02-28,185.25,187.7,180.61,186.34,669026.0,123162477.0
2006-03-01,186.34,187.7,183.61,184.7,523177.0,96867699.0
2006-03-02,184.7,184.97,176.53,178.71,766711.0,138277794.0
2006-03-03,178.16,180.07,175.17,178.16,568583.0,100863133.0
2006-03-06,177.62,180.89,177.07,178.71,332940.0,59617545.0
2006-03-07,178.71,178.71,171.9,172.17,422525.0,73589282.0
2006-03-08,171.9,174.89,170.81,173.8,321325.0,55516964.0
2006-03-09,173.8,173.8,168.63,169.99,355405.0,60652953.0
